Title,URL,Description,Best Rating,Worst Rating,Rating,Genre,Duration
Jodaeiye Nader az Simin,https://www.imdb.com/title/tt1832382/,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer&apos;s disease.,10,1,8.3,Drama,PT2H3M
The Sting,https://www.imdb.com/title/tt0070735/,Two grifters team up to pull off the ultimate con.,10,1,8.3,"Comedy, Crime, Drama",PT2H9M
Die Hard,https://www.imdb.com/title/tt0095016/,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,10,1,8.2,"Action, Thriller",PT2H12M
Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",10,1,8.2,"Action, Adventure",PT2H7M
Taare Zameen Par,https://www.imdb.com/title/tt0986264/,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",10,1,8.3,"Drama, Family",PT2H42M
Metropolis,https://www.imdb.com/title/tt0017136/,"In a futuristic city sharply divided between the working class and the city planners, the son of the city&apos;s mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",10,1,8.3,"Drama, Sci-Fi",PT2H33M
Snatch,https://www.imdb.com/title/tt0208092/,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",10,1,8.2,"Comedy, Crime",PT1H42M
1917,https://www.imdb.com/title/tt8579674/,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",10,1,8.2,"Action, Drama, History",PT1H59M
L.A. Confidential,https://www.imdb.com/title/tt0119488/,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",10,1,8.2,"Crime, Drama, Mystery",PT2H18M
Ladri di biciclette,https://www.imdb.com/title/tt0040522/,"In post-war Italy, a working-class man&apos;s bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",10,1,8.3,Drama,PT1H29M
Der Untergang,https://www.imdb.com/title/tt0363163/,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator&apos;s final days in his Berlin bunker at the end of WWII.",10,1,8.2,"Biography, Drama, History",PT2H36M
Hamilton,https://www.imdb.com/title/tt8503618/,"The real life of one of America&apos;s foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",10,1,8.3,"Biography, Drama, History",PT2H40M
Taxi Driver,https://www.imdb.com/title/tt0075314/,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",10,1,8.2,"Crime, Drama",PT1H54M
Dangal,https://www.imdb.com/title/tt5074352/,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",10,1,8.3,"Action, Biography, Drama",PT2H41M
